2772.0000	1620.0000
2861.5000	1847.5000
3149.5000	2525.5000
3431.5000	2969.5000
3659.5000	3263.5000
4007.5000	3629.5000
4295.5000	3929.5000
4571.5000	4187.5000
4769.5000	4115.5000
5003.5000	4019.5000
5243.5000	3839.5000
5441.5000	3641.5000
5621.5000	3539.5000
5357.5000	3239.5000
5333.5000	2861.5000
5327.5000	2525.5000
5237.5000	2237.5000
5129.5000	1991.5000
4979.5000	1763.5000
4823.5000	1565.5000
4607.5000	1325.5000
4439.5000	1037.5000
4169.5000	1091.5000
3857.5000	1181.5000
3587.5000	1277.5000
3365.5000	1367.5000
3053.5000	1481.5000
