784	840
840	704
888	584
936	504
1080	456
1448	408
1904	384
2448	392
2816	456
3208	592
3608	792
3984	1048
4320	1360
4440	1560
4496	1760
4504	2024
4440	2288
4256	2560
3952	2864
3680	3088
3288	3312
3016	3424
2552	3544
2240	3576
1824	3536
1592	3472
1312	3320
1136	3176
904	2928
760	2656
632	2248
560	1968
496	1656
488	1472
512	1384
632	1184
712	1040
768	936
