7191	3787
7211	3643
7205	3554
7054	3397
6808	3138
6555	2871
6275	2604
5742	2153
5250	1757
4744	1435
4464	1285
4156	1128
3753	991
3329	868
2994	800
2652	786
2345	800
2146	841
1921	909
1777	1005
1620	1210
1511	1394
1449	1593
1442	1839
1456	2010
1490	2201
1586	2413
1757	2721
2016	3062
2263	3397
2563	3746
2707	3917
3042	4149
3274	4231
3466	4238
3705	4197
3978	4122
4231	4067
4559	4033
4983	4006
5352	4040
5797	4129
6070	4177
6248	4177
6473	4163
6644	4122
6774	4074
6883	4026
7027	3992
7082	3971
7136	3910
7177	3848
