"SampleId","Area","Group","Side","Wing"
"KO-F-D-10R",0.120139494333043,"KO-F","Dorsal","HL"
"KO-F-D-11P",0.115780296425458,"KO-F","Dorsal","HL"
"KO-F-D-13N",0.126242371403662,"KO-F","Dorsal","HL"
"KO-F-D-14J",0.128451031676838,"KO-F","Dorsal","HL"
"KO-F-D-14N",0.126009880848591,"KO-F","Dorsal","HL"
"KO-F-D-15K",0.12920662598082,"KO-F","Dorsal","HL"
"KO-F-D-17N",0.110665504213891,"KO-F","Dorsal","HL"
"KO-F-D-18P",0.120953211275792,"KO-F","Dorsal","HL"
"KO-F-D-20213G",0.127637314734089,"KO-F","Dorsal","HL"
"KO-F-D-20214E",0.11333914559721,"KO-F","Dorsal","HL"
"KO-F-D-20219E",0.116652136006975,"KO-F","Dorsal","HL"
"KO-F-D-2J",0.104853240337111,"KO-F","Dorsal","HL"
"KO-F-D-2L",0.148270851496658,"KO-F","Dorsal","HL"
"KO-F-D-2N",0.105666957279861,"KO-F","Dorsal","HL"
"KO-F-D-31J",0.126126126126126,"KO-F","Dorsal","HL"
"KO-F-D-4H",0.124091833769253,"KO-F","Dorsal","HL"
"KO-F-D-4J",0.110723626852659,"KO-F","Dorsal","HL"
"KO-F-D-6C",0.114966579482709,"KO-F","Dorsal","HL"
"KO-F-D-6N",0.0963673350770125,"KO-F","Dorsal","HL"
"KO-F-D-7A",0.118163324614938,"KO-F","Dorsal","HL"
"KO-F-D-7J",0.137169427492008,"KO-F","Dorsal","HL"
"KO-F-D-7R",0.117058994478349,"KO-F","Dorsal","HL"
"KO-F-D-8N",0.122522522522523,"KO-F","Dorsal","HL"
"KO-F-D-9N",0.11862830572508,"KO-F","Dorsal","HL"
"KO-F-D-9P",0.13420517291485,"KO-F","Dorsal","HL"
"KO-F-V-10N",0.163643692059653,"KO-F","Ventral","FR"
"KO-F-V-10R",0.150006717721349,"KO-F","Ventral","FR"
"KO-F-V-11P",0.167607147655515,"KO-F","Ventral","FR"
"KO-F-V-13N",0.15323122396883,"KO-F","Ventral","FR"
"KO-F-V-14J",0.123337363966143,"KO-F","Ventral","FR"
"KO-F-V-14N",0.151081553137176,"KO-F","Ventral","FR"
"KO-F-V-15K",0.196493349455865,"KO-F","Ventral","FR"
"KO-F-V-17N",0.122934300685208,"KO-F","Ventral","FR"
"KO-F-V-18P",0.203882842939675,"KO-F","Ventral","FR"
"KO-F-V-20213G",0.171772134891845,"KO-F","Ventral","FR"
"KO-F-V-20214E",0.167002552734113,"KO-F","Ventral","FR"
"KO-F-V-20219E",0.148528819024587,"KO-F","Ventral","FR"
"KO-F-V-2J",0.138452237001209,"KO-F","Ventral","FR"
"KO-F-V-2L",0.192194007792557,"KO-F","Ventral","FR"
"KO-F-V-2N",0.140131667338439,"KO-F","Ventral","FR"
"KO-F-V-31J",0.150275426575306,"KO-F","Ventral","FR"
"KO-F-V-4H",0.15813516055354,"KO-F","Ventral","FR"
"KO-F-V-4J",0.130055085315061,"KO-F","Ventral","FR"
"KO-F-V-6C",0.129517667607148,"KO-F","Ventral","FR"
"KO-F-V-6N",0.111043933897622,"KO-F","Ventral","FR"
"KO-F-V-7A",0.163979578127099,"KO-F","Ventral","FR"
"KO-F-V-7J",0.187155716780868,"KO-F","Ventral","FR"
"KO-F-V-7R",0.192865779927449,"KO-F","Ventral","FR"
"KO-F-V-8N",0.135966680102109,"KO-F","Ventral","FR"
"KO-F-V-9N",0.139795781270993,"KO-F","Ventral","FR"
"KO-F-V-9P",0.174526400644901,"KO-F","Ventral","FR"
