"Var1","Var2","value","pair","comparison","wing","side"
"KO-F-D-10R","KO-F-D-10N",0.0288777777777778,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-11P","KO-F-D-10N",0.0226666666666667,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-13N","KO-F-D-10N",0.0455777777777778,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-14J","KO-F-D-10N",0.0561777777777778,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-14N","KO-F-D-10N",0.0367888888888889,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-15K","KO-F-D-10N",0.0342666666666667,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-17N","KO-F-D-10N",0.0441222222222222,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-18P","KO-F-D-10N",0.0222888888888889,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-20213G","KO-F-D-10N",0.0463777777777778,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-20214E","KO-F-D-10N",0.0277333333333333,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-20219E","KO-F-D-10N",0.0278111111111111,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-2J","KO-F-D-10N",0.0269555555555556,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-2L","KO-F-D-10N",0.0633555555555556,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-2N","KO-F-D-10N",0.0385333333333333,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-31J","KO-F-D-10N",0.0332777777777778,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-4H","KO-F-D-10N",0.0424111111111111,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-4J","KO-F-D-10N",0.0453,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-6C","KO-F-D-10N",0.0524777777777778,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-6N","KO-F-D-10N",0.0470222222222222,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-7A","KO-F-D-10N",0.0665333333333333,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-7J","KO-F-D-10N",0.0617666666666667,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-7R","KO-F-D-10N",0.0252222222222222,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-8N","KO-F-D-10N",0.0359888888888889,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-9N","KO-F-D-10N",0.0620777777777778,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-9P","KO-F-D-10N",0.0267333333333333,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-11P","KO-F-D-10R",0.0225,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-13N","KO-F-D-10R",0.0314333333333333,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-14J","KO-F-D-10R",0.0395888888888889,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-14N","KO-F-D-10R",0.0228444444444444,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-15K","KO-F-D-10R",0.0333888888888889,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-17N","KO-F-D-10R",0.0395777777777778,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-18P","KO-F-D-10R",0.0243,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-20213G","KO-F-D-10R",0.0415888888888889,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-20214E","KO-F-D-10R",0.0207222222222222,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-20219E","KO-F-D-10R",0.0249555555555556,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-2J","KO-F-D-10R",0.0253444444444444,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-2L","KO-F-D-10R",0.0606555555555556,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-2N","KO-F-D-10R",0.0292555555555556,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-31J","KO-F-D-10R",0.0219333333333333,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-4H","KO-F-D-10R",0.0328,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-4J","KO-F-D-10R",0.0350444444444444,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-6C","KO-F-D-10R",0.0410444444444444,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-6N","KO-F-D-10R",0.0342555555555556,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-7A","KO-F-D-10R",0.0565888888888889,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-7J","KO-F-D-10R",0.0518888888888889,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-7R","KO-F-D-10R",0.0365888888888889,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-8N","KO-F-D-10R",0.0263111111111111,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-9N","KO-F-D-10R",0.0515555555555556,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-9P","KO-F-D-10R",0.0267444444444444,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-13N","KO-F-D-11P",0.0392666666666667,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-14J","KO-F-D-11P",0.0501777777777778,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-14N","KO-F-D-11P",0.0280111111111111,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-15K","KO-F-D-11P",0.0238666666666667,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-17N","KO-F-D-11P",0.0391888888888889,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-18P","KO-F-D-11P",0.0144,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-20213G","KO-F-D-11P",0.0348222222222222,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-20214E","KO-F-D-11P",0.0221777777777778,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-20219E","KO-F-D-11P",0.0168777777777778,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-2J","KO-F-D-11P",0.0233333333333333,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-2L","KO-F-D-11P",0.0536888888888889,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-2N","KO-F-D-11P",0.0307555555555556,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-31J","KO-F-D-11P",0.0250777777777778,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-4H","KO-F-D-11P",0.0375666666666667,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-4J","KO-F-D-11P",0.0412555555555556,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-6C","KO-F-D-11P",0.0526777777777778,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-6N","KO-F-D-11P",0.0456222222222222,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-7A","KO-F-D-11P",0.0576666666666667,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-7J","KO-F-D-11P",0.0524777777777778,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-7R","KO-F-D-11P",0.0240222222222222,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-8N","KO-F-D-11P",0.0291666666666667,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-9N","KO-F-D-11P",0.0517222222222222,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-9P","KO-F-D-11P",0.0142888888888889,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-14J","KO-F-D-13N",0.0219777777777778,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-14N","KO-F-D-13N",0.0197666666666667,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-15K","KO-F-D-13N",0.048,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-17N","KO-F-D-13N",0.0571222222222222,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-18P","KO-F-D-13N",0.0413555555555556,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-20213G","KO-F-D-13N",0.0615555555555556,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-20214E","KO-F-D-13N",0.0428888888888889,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-20219E","KO-F-D-13N",0.0407666666666667,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-2J","KO-F-D-13N",0.0409555555555556,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-2L","KO-F-D-13N",0.0735333333333333,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-2N","KO-F-D-13N",0.0266222222222222,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-31J","KO-F-D-13N",0.0231444444444444,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-4H","KO-F-D-13N",0.0330555555555556,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-4J","KO-F-D-13N",0.0277888888888889,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-6C","KO-F-D-13N",0.0417888888888889,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-6N","KO-F-D-13N",0.0292444444444444,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-7A","KO-F-D-13N",0.0488,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-7J","KO-F-D-13N",0.0407666666666667,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-7R","KO-F-D-13N",0.0516222222222222,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-8N","KO-F-D-13N",0.0371888888888889,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-9N","KO-F-D-13N",0.0301666666666667,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-9P","KO-F-D-13N",0.0431777777777778,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-14N","KO-F-D-14J",0.0283444444444444,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-15K","KO-F-D-14J",0.0571777777777778,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-17N","KO-F-D-14J",0.0662111111111111,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-18P","KO-F-D-14J",0.0512444444444444,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-20213G","KO-F-D-14J",0.0660888888888889,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-20214E","KO-F-D-14J",0.0530666666666667,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-20219E","KO-F-D-14J",0.0475,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-2J","KO-F-D-14J",0.0504222222222222,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-2L","KO-F-D-14J",0.0839333333333333,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-2N","KO-F-D-14J",0.0376222222222222,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-31J","KO-F-D-14J",0.0319222222222222,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-4H","KO-F-D-14J",0.0339444444444444,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-4J","KO-F-D-14J",0.0306111111111111,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-6C","KO-F-D-14J",0.0393888888888889,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-6N","KO-F-D-14J",0.0326444444444444,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-7A","KO-F-D-14J",0.0440888888888889,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-7J","KO-F-D-14J",0.0486111111111111,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-7R","KO-F-D-14J",0.0609111111111111,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-8N","KO-F-D-14J",0.0407444444444444,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-9N","KO-F-D-14J",0.0251666666666667,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-9P","KO-F-D-14J",0.0539333333333333,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-15K","KO-F-D-14N",0.0354333333333333,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-17N","KO-F-D-14N",0.0520222222222222,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-18P","KO-F-D-14N",0.0293888888888889,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-20213G","KO-F-D-14N",0.0459444444444444,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-20214E","KO-F-D-14N",0.0358555555555556,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-20219E","KO-F-D-14N",0.0279111111111111,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-2J","KO-F-D-14N",0.0327888888888889,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-2L","KO-F-D-14N",0.0603,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-2N","KO-F-D-14N",0.0207,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-31J","KO-F-D-14N",0.0132666666666667,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-4H","KO-F-D-14N",0.0221333333333333,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-4J","KO-F-D-14N",0.0216666666666667,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-6C","KO-F-D-14N",0.0396,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-6N","KO-F-D-14N",0.0292777777777778,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-7A","KO-F-D-14N",0.0398777777777778,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-7J","KO-F-D-14N",0.0365333333333333,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-7R","KO-F-D-14N",0.0391666666666667,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-8N","KO-F-D-14N",0.0231555555555556,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-9N","KO-F-D-14N",0.0355333333333333,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-9P","KO-F-D-14N",0.0318111111111111,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-17N","KO-F-D-15K",0.0557,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-18P","KO-F-D-15K",0.0191333333333333,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-20213G","KO-F-D-15K",0.0298888888888889,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-20214E","KO-F-D-15K",0.0346222222222222,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-20219E","KO-F-D-15K",0.0232555555555556,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-2J","KO-F-D-15K",0.0346666666666667,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-2L","KO-F-D-15K",0.039,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-2N","KO-F-D-15K",0.0362222222222222,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-31J","KO-F-D-15K",0.0350555555555556,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-4H","KO-F-D-15K",0.0373666666666667,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-4J","KO-F-D-15K",0.0431444444444444,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-6C","KO-F-D-15K",0.0647888888888889,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-6N","KO-F-D-15K",0.0582222222222222,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-7A","KO-F-D-15K",0.0442888888888889,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-7J","KO-F-D-15K",0.0364111111111111,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-7R","KO-F-D-15K",0.0285777777777778,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-8N","KO-F-D-15K",0.0279222222222222,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-9N","KO-F-D-15K",0.0519888888888889,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-9P","KO-F-D-15K",0.0246888888888889,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-18P","KO-F-D-17N",0.0460777777777778,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-20213G","KO-F-D-17N",0.0603888888888889,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-20214E","KO-F-D-17N",0.0335444444444444,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-20219E","KO-F-D-17N",0.0438666666666667,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-2J","KO-F-D-17N",0.0398555555555556,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-2L","KO-F-D-17N",0.0861222222222222,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-2N","KO-F-D-17N",0.0520555555555556,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-31J","KO-F-D-17N",0.0514222222222222,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-4H","KO-F-D-17N",0.0557555555555556,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-4J","KO-F-D-17N",0.0567555555555556,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-6C","KO-F-D-17N",0.0410444444444444,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-6N","KO-F-D-17N",0.0397666666666667,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-7A","KO-F-D-17N",0.0826777777777778,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-7J","KO-F-D-17N",0.0826444444444445,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-7R","KO-F-D-17N",0.0585666666666667,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-8N","KO-F-D-17N",0.0561111111111111,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-9N","KO-F-D-17N",0.0795555555555556,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-9P","KO-F-D-17N",0.0411888888888889,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-20213G","KO-F-D-18P",0.0309333333333333,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-20214E","KO-F-D-18P",0.0245333333333333,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-20219E","KO-F-D-18P",0.0176111111111111,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-2J","KO-F-D-18P",0.0237777777777778,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-2L","KO-F-D-18P",0.0484666666666667,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-2N","KO-F-D-18P",0.0298444444444444,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-31J","KO-F-D-18P",0.0271888888888889,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-4H","KO-F-D-18P",0.0363222222222222,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-4J","KO-F-D-18P",0.0410111111111111,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-6C","KO-F-D-18P",0.0571666666666667,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-6N","KO-F-D-18P",0.0495111111111111,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-7A","KO-F-D-18P",0.0534666666666667,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-7J","KO-F-D-18P",0.0470111111111111,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-7R","KO-F-D-18P",0.0184,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-8N","KO-F-D-18P",0.0262111111111111,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-9N","KO-F-D-18P",0.0505444444444444,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-9P","KO-F-D-18P",0.0162888888888889,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-20214E","KO-F-D-20213G",0.0438666666666667,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-20219E","KO-F-D-20213G",0.0301444444444444,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-2J","KO-F-D-20213G",0.0477333333333333,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-2L","KO-F-D-20213G",0.041,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-2N","KO-F-D-20213G",0.0454222222222222,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-31J","KO-F-D-20213G",0.0447,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-4H","KO-F-D-20213G",0.0436777777777778,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-4J","KO-F-D-20213G",0.0475,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-6C","KO-F-D-20213G",0.0739666666666667,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-6N","KO-F-D-20213G",0.0673111111111111,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-7A","KO-F-D-20213G",0.0477333333333333,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-7J","KO-F-D-20213G",0.0477,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-7R","KO-F-D-20213G",0.0387111111111111,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-8N","KO-F-D-20213G",0.0325888888888889,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-9N","KO-F-D-20213G",0.0665222222222222,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-9P","KO-F-D-20213G",0.0359333333333333,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-20219E","KO-F-D-20214E",0.0264777777777778,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-2J","KO-F-D-20214E",0.0247333333333333,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-2L","KO-F-D-20214E",0.0674222222222222,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-2N","KO-F-D-20214E",0.0403555555555556,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-31J","KO-F-D-20214E",0.0323222222222222,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-4H","KO-F-D-20214E",0.0447666666666667,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-4J","KO-F-D-20214E",0.0466777777777778,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-6C","KO-F-D-20214E",0.0470111111111111,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-6N","KO-F-D-20214E",0.0430888888888889,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-7A","KO-F-D-20214E",0.0702,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-7J","KO-F-D-20214E",0.0655444444444444,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-7R","KO-F-D-20214E",0.0362,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-8N","KO-F-D-20214E",0.0368333333333333,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-9N","KO-F-D-20214E",0.0639888888888889,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-9P","KO-F-D-20214E",0.0206222222222222,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-2J","KO-F-D-20219E",0.0286555555555556,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-2L","KO-F-D-20219E",0.0481,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-2N","KO-F-D-20219E",0.0313444444444444,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-31J","KO-F-D-20219E",0.0277111111111111,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-4H","KO-F-D-20219E",0.0312444444444444,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-4J","KO-F-D-20219E",0.0343555555555556,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-6C","KO-F-D-20219E",0.0520666666666667,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-6N","KO-F-D-20219E",0.0467444444444444,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-7A","KO-F-D-20219E",0.0517222222222222,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-7J","KO-F-D-20219E",0.0476,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-7R","KO-F-D-20219E",0.0296555555555556,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-8N","KO-F-D-20219E",0.0238666666666667,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-9N","KO-F-D-20219E",0.0512444444444444,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-9P","KO-F-D-20219E",0.0188777777777778,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-2L","KO-F-D-2J",0.0682222222222222,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-2N","KO-F-D-2J",0.0347111111111111,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-31J","KO-F-D-2J",0.0327222222222222,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-4H","KO-F-D-2J",0.0402777777777778,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-4J","KO-F-D-2J",0.0425444444444444,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-6C","KO-F-D-2J",0.0489666666666667,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-6N","KO-F-D-2J",0.0419111111111111,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-7A","KO-F-D-2J",0.0651333333333333,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-7J","KO-F-D-2J",0.0605444444444444,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-7R","KO-F-D-2J",0.0307555555555556,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-8N","KO-F-D-2J",0.0357444444444444,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-9N","KO-F-D-2J",0.0586111111111111,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-9P","KO-F-D-2J",0.0248,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-2N","KO-F-D-2L",0.0594,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-31J","KO-F-D-2L",0.0600777777777778,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-4H","KO-F-D-2L",0.0607666666666667,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-4J","KO-F-D-2L",0.0652111111111111,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-6C","KO-F-D-2L",0.0903888888888889,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-6N","KO-F-D-2L",0.0846222222222222,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-7A","KO-F-D-2L",0.0485111111111111,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-7J","KO-F-D-2L",0.0426333333333333,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-7R","KO-F-D-2L",0.0533111111111111,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-8N","KO-F-D-2L",0.0497666666666667,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-9N","KO-F-D-2L",0.0748333333333333,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-9P","KO-F-D-2L",0.0552222222222222,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-31J","KO-F-D-2N",0.0240111111111111,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-4H","KO-F-D-2N",0.0285,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-4J","KO-F-D-2N",0.0277666666666667,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-6C","KO-F-D-2N",0.0479222222222222,"female mKO","(within)","Right forewing","Dorsal"
"KO-F-D-6N","KO-F-D-2N",0.0342,"female mKO","(within)","Right forewing","Dorsal"
